date,open,high,low,close,volume
2014-10-20,27.7331,27.9623,27.4945,27.6377,491247
2014-10-21,27.7427,28.4587,27.6759,28.4396,800278
2014-10-22,28.5446,28.6592,28.156,28.1818,237231
2014-10-23,28.5064,28.7546,28.1471,28.5255,247361
2014-10-24,28.6114,28.8215,28.4873,28.6019,578248
2014-10-27,28.5732,28.8024,28.4587,28.516,395311
2014-10-28,28.6878,29.0888,28.4835,28.9647,851039
2014-10-29,28.9265,29.2987,28.5446,28.6401,467962
2014-10-30,28.6592,28.9074,28.4587,28.7642,505935
2014-10-31,29.1842,29.5661,28.7833,29.442,576288
2014-11-03,29.6043,29.7857,29.3179,29.652,549624
2014-11-04,29.5565,29.8334,29.4191,29.6329,619195
2014-11-05,29.862,29.9384,29.5756,29.9098,583696
2014-11-06,31.8382,31.9432,30.5971,31.0076,1861932
2014-11-07,31.1604,31.4372,31.0267,31.1127,898061
2014-11-10,31.3131,31.6759,31.2463,31.2654,472941
2014-11-11,31.2463,31.3227,31.0076,31.1127,365356
2014-11-12,31.084,31.275,30.8263,30.9981,843991
2014-11-13,31.5041,31.5041,30.8167,31.0936,1063472
2014-11-14,30.979,31.5423,30.7881,31.4563,1426236
2014-11-17,31.4372,31.5614,31.1699,31.38,535119
2014-11-18,31.8096,31.9241,31.0458,31.7332,784029
2014-11-19,31.8096,31.8096,31.2368,31.4086,648397
2014-11-20,31.2559,31.5518,31.1031,31.4182,735275
2014-11-21,31.8367,32.0567,31.4923,32.0567,892044
2014-11-24,32.5255,33.7786,32.2385,33.396,3062487
2014-11-25,33.6543,33.8456,33.3003,33.4056,1887923
2014-11-26,33.4438,33.6863,33.4056,33.5586,707960
2014-11-28,33.4629,34.0178,33.4629,33.5586,304392
2014-12-01,33.6064,33.6064,32.9177,32.9368,591367
2014-12-02,32.8794,33.1855,32.7933,32.8985,427420
2014-12-03,31.8558,32.4394,31.6549,32.1237,6134533
2014-12-04,32.2576,33.1951,32.0471,32.6594,2403868
2014-12-05,33.0803,33.0803,32.5159,32.8698,1400504
2014-12-08,32.8698,32.9942,32.3533,32.4776,1186756
2014-12-09,31.8558,32.7072,31.5784,32.6689,1254158
2014-12-10,32.6594,32.8124,32.1524,32.5255,1340999
2014-12-11,32.602,33.109,32.5312,32.6307,1123064
2014-12-12,32.5255,33.0612,32.2509,32.8411,2165915
2014-12-15,33.1186,33.2047,31.7018,31.7697,1396154
2014-12-16,31.2914,32.248,31.1575,31.8175,1302930
2014-12-17,31.9802,32.4968,31.7157,32.4107,646821
2014-12-18,32.5255,33.3625,32.4489,33.1568,825507
2014-12-19,32.9942,33.4821,32.8603,33.3482,1103562
2014-12-22,33.4247,33.8073,33.329,33.5586,780701
2014-12-23,33.683,34.2283,33.6715,34.0656,612272
2014-12-24,34.0752,34.4435,34.0321,34.1996,184616
2014-12-26,34.257,34.5152,34.2283,34.3622,272202
2014-12-29,34.4196,34.4291,34.1135,34.1804,450182
2014-12-30,34.0369,34.1795,33.7308,33.8073,506296
2014-12-31,33.97,34.0752,33.5299,33.6447,342077
2015-01-02,33.7308,33.7691,33.0994,33.3482,380188
2015-01-05,33.2142,33.2716,32.6689,32.9942,470181
2015-01-06,32.9942,33.176,32.3915,32.5159,515199
2015-01-07,32.8029,33.4056,32.6976,33.1951,989987
2015-01-08,33.549,34.3048,33.549,34.0274,862566
2015-01-09,34.2091,34.2626,33.7978,34.1613,779793
2015-01-12,34.1996,34.3622,33.8743,34.1613,651732
2015-01-13,34.4196,35.3188,34.1804,34.7066,1074380
2015-01-14,33.616,34.2139,33.0038,33.97,1566865
2015-01-15,34.19,34.2474,33.6447,33.8456,1175435
2015-01-16,33.6543,34.2732,33.396,34.2187,611080
2015-01-20,34.4291,34.5535,33.7117,33.97,1316153
2015-01-21,33.7978,34.1852,33.6064,33.9126,465961
2015-01-22,33.9987,34.233,33.5873,34.19,475830
2015-01-23,34.0656,34.4004,33.7155,34.19,345261
2015-01-26,34.2857,34.4196,33.7595,34.1422,786455
2015-01-27,33.7978,33.9413,32.7072,33.109,800825
2015-01-28,33.4916,33.8456,33.0325,33.0707,545473
2015-01-29,33.0516,33.3577,32.8029,33.2525,409809
2015-01-30,33.109,33.4821,32.5541,32.7742,660188
2015-02-02,32.7168,32.8316,31.7697,32.7837,1014377
2015-02-03,32.9177,33.7595,32.7359,33.7404,799552
2015-02-04,33.616,33.9604,33.4056,33.6064,369552
2015-02-05,33.7117,33.9604,33.5777,33.9221,370806
2015-02-06,34.0943,34.477,33.9317,34.4196,712227
2015-02-09,34.2187,34.5344,33.9891,34.4865,877778
2015-02-10,35.1849,35.6345,34.5918,34.8214,1553824
2015-02-11,34.6874,34.9129,34.3526,34.4291,1602377
2015-02-12,34.63,34.9553,34.4671,34.8214,1036415
2015-02-13,34.7448,35.5101,34.5057,35.424,1118112
2015-02-17,35.3666,36.2133,35.3379,36.0554,2550227
2015-02-18,36.1606,36.5146,36.065,36.2946,1462228
2015-02-19,36.352,36.3901,36.0459,36.1511,792013
2015-02-20,35.998,36.2276,35.7015,36.1128,564760
2015-02-23,36.2733,36.5608,36.1296,36.3979,1097190
2015-02-24,36.4938,36.6471,36.168,36.5033,977750
2015-02-25,36.7621,36.7621,36.3596,36.4458,667738
2015-02-26,36.81,36.8388,36.4267,36.58,554713
2015-02-27,36.3883,36.4363,36.0146,36.0625,1024227
2015-03-02,35.9954,36.4938,35.9475,36.4171,984988
2015-03-03,36.3979,36.6902,36.3883,36.5896,887461
2015-03-04,36.4075,36.6758,36.1871,36.4458,1020385
2015-03-05,36.4554,36.7176,36.1583,36.1775,1347372
2015-03-06,36.0817,36.35,35.6408,35.8325,1041294
2015-03-09,35.7846,36.025,35.7079,35.7558,1035960
2015-03-10,35.5067,35.5279,34.7304,34.8646,1068528
2015-03-11,34.7783,34.9796,34.5196,34.5962,860528
2015-03-12,34.4525,34.5867,33.6858,34.0883,1962432
2015-03-13,34.0883,34.5004,34.0212,34.4525,870480
2015-03-16,34.4621,34.9221,34.4525,34.8262,668157
2015-03-17,34.7208,34.9892,34.5867,34.7496,970398
2015-03-18,34.7879,35.315,34.5004,35.2096,1166360
2015-03-19,35.2096,35.9092,35.085,35.7654,904724
2015-03-20,35.8708,36.5704,35.7846,36.1967,2071844
2015-03-23,36.1871,36.7238,36.0338,36.3979,1252216
